id,deviceID,datetime,"Sri Aurobindo Marg,_pm25","Sri Aurobindo Marg,_pm10","Sri Aurobindo Marg,_aqi",co2,voc,temp,humidity,battery,viral_index
11101,DELDPCC018,2024-05-10 00:00:00,69,177,151,0,0,26.7,55,5,0
11115,DELDPCC018,2024-05-10 00:15:00,69,177,151,0,0,26.9,54.1,5,0
11141,DELDPCC018,2024-05-10 00:30:00,69,177,151,0,0,26.9,54.4,5,0
11154,DELDPCC018,2024-05-10 00:45:00,69,177,151,0,0,26.8,54.7,5,0
11183,DELDPCC018,2024-05-10 01:00:00,66,173,149,0,0,26.4,56.5,5,0
11197,DELDPCC018,2024-05-10 01:15:00,66,173,149,0,0,26.4,56.3,5,0
11223,DELDPCC018,2024-05-10 01:30:00,66,173,149,0,0,26.4,55.9,5,0
11264,DELDPCC018,2024-05-10 02:00:00,66,169,146,0,0,26.4,56.3,5,0
11276,DELDPCC018,2024-05-10 02:15:00,66,169,146,0,0,26.1,57.5,5,0
11302,DELDPCC018,2024-05-10 02:30:00,66,169,146,0,0,26.2,57,5,0
11315,DELDPCC018,2024-05-10 02:45:00,66,169,146,0,0,26.5,55.7,5,0
11347,DELDPCC018,2024-05-10 03:00:00,64,154,136,0,0,26.5,56.1,5,0
11358,DELDPCC018,2024-05-10 03:15:00,64,154,136,0,0,26.2,57.5,5,0
11384,DELDPCC018,2024-05-10 03:30:00,64,154,136,0,0,26.1,58.5,5,0
11397,DELDPCC018,2024-05-10 03:45:00,64,154,136,0,0,25.9,59.6,5,0
11426,DELDPCC018,2024-05-10 04:00:00,66,167,145,0,0,25.9,59.9,5,0
11440,DELDPCC018,2024-05-10 04:15:00,66,167,145,0,0,26,59.9,5,0
11468,DELDPCC018,2024-05-10 04:30:00,66,167,145,0,0,26,60.4,5,0
11479,DELDPCC018,2024-05-10 04:45:00,66,167,145,0,0,0,0,5,0
11506,DELDPCC018,2024-05-10 05:00:00,77,162,157,0,0,26.1,60.7,5,0
11520,DELDPCC018,2024-05-10 05:15:00,77,162,157,0,0,26.1,61,5,0
11549,DELDPCC018,2024-05-10 05:30:00,77,162,157,0,0,26,61.5,5,0
11560,DELDPCC018,2024-05-10 05:45:00,77,162,157,0,0,25.9,61.9,5,0
11591,DELDPCC018,2024-05-10 06:00:00,81,175,170,0,0,26,61.7,5,0
11603,DELDPCC018,2024-05-10 06:15:00,81,175,170,0,0,26.1,61.1,5,0
